"Champion","Pos","GP","P%","B%","P+B%","W%","CTR%","K","D","A","KDA","KP","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","GOLD%","WPM","WCPM"
"Aatrox","Top",23,"74.2%","12.9%","87.1%","43%","48%",64,58,76,2.4,"52.8%","20.1%","9%",-59,14,-1,7.9,"25.3%",376,"21.9%","23.1%",0.46,0.2
"Alistar","Support",1,"3.2%","0.0%","3.2%","0%","100%",0,5,2,0.4,"33.3%","20.8%","0%",-416,-482,-1,0.9,"2.3%",93,"6.0%","6.0%",1.52,0.26
"Aphelios","ADC",16,"51.6%","45.2%","96.8%","56%","0%",54,31,74,4.1,"60.1%","16.1%","19%",334,208,3,9.1,"31.3%",510,"26.7%","26.5%",0.39,0.34
"Ashe","ADC",1,"3.2%","3.2%","6.5%","0%","100%",2,4,5,1.8,"70.0%","18.2%","0%",-370,153,-9,7.9,"30.3%",558,"26.5%","25.9%",0.55,0.23
"Azir","Middle",9,"29.0%","35.5%","64.5%","44%","22%",42,18,41,4.6,"76.9%","17.0%","22%",456,315,6.7,9.7,"31.8%",618,"34.0%","28.4%",0.39,0.29
"Bard","Support",1,"3.2%","0.0%","3.2%","100%","100%",1,1,10,11,"78.6%","33.3%","0%",122,445,-2,1,"3.4%",244,"10.4%","11.0%",1.84,0.39
"Blitzcrank","Support",5,"16.1%","9.7%","25.8%","60%","100%",8,9,39,5.2,"61.0%","15.3%","60%",260,170,0.2,1,"2.6%",178,"9.5%","9.8%",1.61,0.34
"Braum","Support",5,"16.1%","0.0%","16.1%","40%","20%",1,12,35,3,"81.8%","21.4%","60%",68,-90,4.8,1.3,"3.5%",154,"9.8%","9.0%",1.42,0.42
"Camille","-",0,"0%","3.2%","3.2%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Cassiopeia","-",0,"0%","16.1%","16.1%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Corki","Middle",6,"19.4%","0.0%","19.4%","33%","100%",19,12,29,4,"69.6%","15.8%","17%",-181,-189,-7.3,9.2,"31.2%",604,"31.5%","27.6%",0.46,0.19
"Ekko","Middle",2,"6.5%","3.2%","9.7%","0%","100%",2,3,7,3,"56.3%","9.4%","50%",-542,-221,-8,8.6,"29.5%",384,"23.4%","24.9%",0.36,0.09
"Elise","Jungle",1,"3.2%","3.2%","6.5%","100%","100%",3,3,9,4,"66.7%","50.0%","100%",808,655,0,5.2,"14.1%",365,"21.2%","19.0%",0.89,0.2
"Ezreal","ADC",2,"6.5%","0.0%","12.9%","100%","100%",10,1,16,26,"63.4%","8.3%","50%",111,-468,1.5,8.9,"28.2%",717,"25.6%","24.8%",0.42,0.39
"Ezreal","Middle",2,"6.5%","0.0%","12.9%","50%","100%",5,7,11,2.3,"80.0%","26.9%","50%",-94,-246,4.5,9.9,"33.2%",628,"34.5%","28.9%",0.47,0.11
"Gangplank","Top",5,"16.1%","0.0%","16.1%","60%","100%",10,16,32,2.6,"61.8%","20.5%","20%",-96,-226,2.4,8.4,"27.4%",611,"27.2%","26.0%",0.45,0.15
"Gragas","Jungle",11,"35.5%","35.5%","71.0%","64%","18%",28,35,72,2.9,"69.4%","28.2%","18%",-36,-98,-2.6,4.7,"13.3%",346,"18.0%","16.0%",0.66,0.3
"Graves","Jungle",1,"3.2%","0.0%","3.2%","0%","100%",3,6,3,1,"85.7%","28.6%","0%",-684,31,2,5,"14.6%",280,"15.6%","20.7%",0.2,0.27
"Hecarim","Top",1,"3.2%","0.0%","3.2%","100%","100%",3,2,5,4,"44.4%","33.3%","0%",-357,-53,2,7.9,"26.3%",424,"14.6%","21.9%",0.48,0.06
"Irelia","Top",1,"3.2%","3.2%","6.5%","0%","100%",5,5,3,1.6,"80.0%","25.0%","0%",163,-32,4,8,"29.3%",387,"17.8%","27.3%",0.34,0.09
"Jarvan IV","Jungle",11,"35.5%","3.2%","38.7%","45%","45%",14,39,88,2.6,"79.1%","23.9%","18%",-202,-190,-5.6,4.1,"12.7%",166,"9.1%","15.1%",0.45,0.45
"Kalista","ADC",12,"38.7%","35.5%","77.4%","33%","58%",30,30,51,2.7,"69.2%","17.1%","17%",108,-28,7.3,9.1,"31.1%",388,"22.9%","26.3%",0.4,0.28
"Kalista","Top",1,"3.2%","35.5%","77.4%","100%","100%",2,0,7,9,"69.2%","0.0%","0%",939,204,27,10.4,"33.7%",476,"25.7%","27.2%",0.4,0.27
"Kassadin","Middle",1,"3.2%","22.6%","25.8%","100%","100%",5,0,7,12,"80.0%","0.0%","0%",-188,-170,-7,10.2,"29.6%",577,"33.0%","27.1%",0.41,0.17
"Kindred","Jungle",3,"9.7%","9.7%","19.4%","67%","100%",5,8,20,3.1,"65.8%","25.8%","33%",130,304,7.3,5.9,"17.3%",288,"14.5%","17.9%",0.17,0.55
"Kog'Maw","ADC",1,"3.2%","0.0%","3.2%","0%","100%",2,3,0,0.7,"66.7%","21.4%","0%",-1332,-475,-21,6.6,"23.5%",314,"30.2%","27.6%",0.39,0.22
"LeBlanc","Middle",4,"12.9%","67.7%","80.6%","50%","50%",17,4,15,8,"72.7%","7.7%","25%",-126,33,2.3,8.2,"25.0%",719,"35.5%","24.4%",0.38,0.25
"Lee Sin","Jungle",1,"3.2%","3.2%","6.5%","0%","100%",1,1,2,3,"100.0%","6.7%","0%",-85,34,1,5.4,"18.5%",146,"10.3%","18.6%",0.34,0.17
"Maokai","Top",1,"3.2%","0.0%","3.2%","0%","100%",0,2,0,0,"0.0%","13.3%","0%",-124,-552,-7,8.6,"28.0%",491,"34.5%","23.7%",0.48,0.1
"Miss Fortune","ADC",8,"25.8%","3.2%","29.0%","38%","100%",33,17,42,4.4,"75.0%","14.5%","0%",-520,-253,-11,9.4,"32.8%",532,"27.8%","28.7%",0.45,0.27
"Nautilus","Support",15,"48.4%","9.7%","58.1%","40%","53%",8,48,95,2.1,"53.9%","22.9%","7%",-113,-92,1.1,1,"2.3%",154,"8.2%","8.3%",1.59,0.29
"Nocturne","Jungle",4,"12.9%","9.7%","22.6%","75%","100%",21,11,32,4.8,"73.6%","32.4%","50%",416,559,7.8,6.7,"20.1%",504,"23.0%","21.3%",0.58,0.28
"Olaf","Jungle",4,"12.9%","51.6%","64.5%","50%","75%",15,11,22,3.4,"74.0%","22.0%","50%",393,700,21.5,5.9,"16.0%",324,"18.0%","18.8%",0.26,0.47
"Orianna","Middle",6,"19.4%","0.0%","19.4%","50%","33%",33,15,23,3.7,"81.2%","22.4%","17%",-302,-127,-2.2,9.2,"29.7%",570,"31.2%","26.8%",0.41,0.25
"Ornn","Top",17,"54.8%","38.7%","93.5%","41%","35%",22,39,89,2.8,"56.1%","16.7%","41%",-45,-7,-2.6,7.4,"22.4%",374,"19.9%","20.5%",0.45,0.11
"Pantheon","Jungle",10,"32.3%","22.6%","58.1%","40%","30%",30,37,57,2.4,"76.3%","28.0%","70%",-197,-289,-5.3,4.9,"13.4%",286,"16.5%","17.7%",0.27,0.28
"Pantheon","Top",1,"3.2%","22.6%","58.1%","0%","100%",4,2,4,4,"72.7%","11.8%","100%",104,-161,3,7.1,"24.7%",380,"27.2%","23.1%",0.51,0.15
"Poppy","Top",2,"6.5%","3.2%","9.7%","50%","100%",3,4,5,2,"36.4%","14.3%","0%",-416,-249,-15.5,7.5,"26.5%",399,"19.2%","21.7%",0.51,0.08
"Pyke","Support",2,"6.5%","0.0%","6.5%","50%","100%",3,3,8,3.7,"52.4%","13.6%","0%",-49,27,-2,1.8,"6.0%",154,"7.6%","10.7%",2.85,0.9
"Qiyana","-",0,"0%","3.2%","3.2%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Rakan","Support",10,"32.3%","32.3%","64.5%","70%","20%",3,18,100,5.7,"67.8%","15.8%","20%",-26,21,-0.2,1.1,"3.3%",155,"7.3%","8.8%",1.54,0.49
"Rek'Sai","Jungle",4,"12.9%","6.5%","19.4%","75%","50%",14,10,20,3.4,"69.4%","27.0%","100%",312,204,3.5,5.3,"16.3%",294,"14.6%","18.4%",0.78,0.53
"Renekton","Top",2,"6.5%","19.4%","25.8%","100%","100%",8,5,9,3.4,"51.5%","50.0%","50%",745,647,16,8.8,"24.8%",456,"26.2%","22.6%",0.32,0.04
"Rumble","Middle",2,"6.5%","0.0%","6.5%","100%","50%",8,6,23,5.2,"81.6%","30.0%","0%",-296,-26,-6.5,6.3,"18.6%",569,"26.1%","19.4%",0.56,0.07
"Ryze","Middle",2,"6.5%","3.2%","9.7%","50%","0%",3,9,5,0.9,"47.1%","32.1%","0%",-194,302,10,9.8,"33.5%",349,"23.1%","25.8%",0.5,0.07
"Sejuani","Jungle",6,"19.4%","0.0%","19.4%","0%","50%",7,22,27,1.5,"61.8%","23.2%","17%",-285,-370,-5.8,4.7,"13.7%",200,"12.6%","15.3%",0.32,0.4
"Senna","-",0,"0%","100.0%","100.0%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Sett","Support",1,"3.2%","71.0%","100.0%","100%","0%",3,4,10,3.3,"72.2%","26.7%","100%",665,729,4,1.4,"4.7%",479,"19.3%","14.5%",1.72,0.46
"Sett","Top",8,"25.8%","71.0%","100.0%","75%","0%",23,18,58,4.5,"61.4%","23.4%","25%",154,90,3,7.3,"22.6%",415,"21.2%","22.4%",0.47,0.21
"Sylas","Middle",2,"6.5%","0.0%","6.5%","50%","50%",9,5,4,2.6,"52.0%","21.7%","50%",195,-131,-8,7.7,"23.7%",421,"28.2%","22.9%",0.39,0.25
"Syndra","ADC",1,"3.2%","77.4%","96.8%","100%","0%",3,5,8,2.2,"64.7%","71.4%","0%",-261,-47,-1,9.8,"27.3%",576,"24.3%","21.8%",0.26,0.26
"Syndra","Middle",5,"16.1%","77.4%","96.8%","20%","0%",7,14,27,2.4,"73.9%","16.5%","40%",-88,44,7.8,8.4,"28.3%",463,"29.3%","24.0%",0.4,0.11
"Tahm Kench","Support",10,"32.3%","41.9%","74.2%","50%","30%",4,30,64,2.3,"54.8%","27.8%","0%",15,-57,0.6,1,"2.3%",124,"6.8%","8.6%",1.43,0.24
"Taliyah","Middle",2,"6.5%","0.0%","6.5%","50%","50%",10,6,9,3.2,"79.2%","22.2%","100%",325,113,-4,7.3,"24.2%",494,"24.5%","22.9%",0.29,0.18
"Taric","Support",6,"19.4%","9.7%","29.0%","17%","67%",1,18,35,2,"81.8%","19.1%","0%",-160,-140,-3.8,1.1,"3.3%",79,"5.0%","8.1%",1.37,0.32
"Thresh","Support",3,"9.7%","12.9%","22.6%","100%","33%",1,3,42,14.3,"86.0%","13.0%","33%",362,246,0.3,1.1,"3.2%",139,"7.8%","10.4%",1.62,0.36
"Trundle","Jungle",6,"19.4%","45.2%","67.7%","67%","50%",11,9,64,8.3,"79.8%","13.6%","67%",230,134,3.8,4.4,"12.2%",198,"10.0%","16.2%",0.29,0.62
"Trundle","Support",1,"3.2%","45.2%","67.7%","0%","100%",1,2,4,2.5,"83.3%","8.7%","0%",38,-23,0,1.1,"2.2%",137,"9.6%","9.4%",1.28,0.27
"Varus","ADC",11,"35.5%","16.1%","51.6%","45%","27%",29,21,46,3.6,"62.5%","17.5%","27%",146,102,3.1,9.4,"30.3%",398,"23.2%","25.8%",0.38,0.37
"Veigar","Middle",1,"3.2%","0.0%","3.2%","100%","100%",6,2,7,6.5,"61.9%","15.4%","0%",-488,-426,-17,7.8,"23.5%",473,"21.0%","22.3%",0.46,0.13
"Viktor","Middle",5,"16.1%","3.2%","19.4%","60%","100%",26,11,34,5.5,"68.2%","16.7%","20%",44,-19,-3.4,9,"30.5%",742,"34.1%","27.1%",0.44,0.2
"Xayah","ADC",10,"32.3%","19.4%","51.6%","70%","90%",35,26,49,3.2,"55.3%","22.8%","10%",-234,-79,-5.4,8.6,"29.4%",501,"22.3%","24.9%",0.36,0.27
"Yasuo","Middle",2,"6.5%","3.2%","9.7%","50%","100%",7,10,15,2.2,"64.7%","32.3%","0%",143,-127,-1,8.9,"26.1%",482,"23.6%","25.3%",0.44,0.26
"Yuumi","Support",2,"6.5%","3.2%","9.7%","50%","100%",2,2,22,12,"92.3%","8.7%","50%",-132,361,-10,0.3,"1.0%",376,"14.7%","8.3%",1.25,0.14
"Zilean","Middle",2,"6.5%","22.6%","29.0%","0%","0%",2,5,9,2.2,"64.7%","12.2%","0%",-386,-153,-1.5,7.7,"23.4%",503,"24.7%","21.3%",0.54,0.06
"Zoe","Middle",9,"29.0%","58.1%","87.1%","78%","33%",42,11,52,8.5,"77.0%","14.1%","44%",210,42,2.1,7.5,"20.9%",702,"31.2%","22.1%",0.47,0.14